offerid	clusterid	size	productname	brand	description	id1	id2	id3	price	currency
howardcomputer_17	cluster_22508	8	Lenovo ThinkPad P71 20HK	Lenovo		1.91377E+11	20HK0013US		1454.99	USD
howardcomputer_173	cluster_22238	6	HP EliteBook 1040 G3	HP		1.90781E+11	Z2A00UTABA		1328.99	USD
howardcomputer_1731	cluster_22105	8	HP ProBook x360 440 G1	HP		1.92546E+11	4PY44UTABA		772.99	USD
howardcomputer_1739	cluster_22597	11	ASUS ZenBook 3 Deluxe UX490UA XH74	ASUS		8.8935E+11	90NB0EI1M05780		1699	USD
howardcomputer_1751	cluster_22443	9	Dell Inspiron 15 Gaming 7577	Dell		8.84116E+11	i75775241BLK		1085.99	USD
howardcomputer_1765	cluster_22250	6	Dell Inspiron 5570	Dell		8.84116E+11	i55705644SLV		677.99	USD
howardcomputer_181	cluster_22298	7	HP EliteBook 850 G4	HP		1.90781E+11	1BS49UTABA		1300.99	USD
howardcomputer_1857	cluster_22268	6	HP ProBook 645 G4	HP		1.92546E+11	4LB46UTABA		838.99	USD
howardcomputer_1893	cluster_22425	7	Lenovo ThinkPad X1 Yoga 20LD	Lenovo		1.9233E+11	20LD001KUS		1838.99	USD
howardcomputer_1907	cluster_22523	11	Lenovo ThinkPad P52s 20LB	Lenovo		1.9233E+11	20LB0019US		1951.99	USD
howardcomputer_1915	cluster_22276	6	Lenovo Legion Y520-15IKBM 80YY	Lenovo		1.92331E+11	80YY0090US		1183.99	USD
howardcomputer_195	cluster_22575	10	ASUS Chromebook C202SA YS02	ASUS		8.89349E+11	C202SAYS02		232.99	USD
howardcomputer_2079	cluster_21996	7	HP ProBook 440 G5	HP		1.91629E+11	2SU15UTABA		899.99	USD
howardcomputer_209	cluster_22113	6	Microsoft Surface Laptop	Microsoft		8.89842E+11	JKQ00001		1191.99	USD
howardcomputer_2107	cluster_22440	8	Lenovo ThinkPad X1 Yoga 20LF	Lenovo		1.9233E+11	20LF000JUS		1745.99	USD
howardcomputer_2137	cluster_22560	9	HP EliteBook 745 G5	HP		1.92546E+11	4JB90UTABA		1196.99	USD
howardcomputer_2157	cluster_22236	6	Dell Latitude 3490	Dell		8.84116E+11	5NCNT		576.99	USD
howardcomputer_2221	cluster_21947	6	Lenovo 320S-15IKB 80X5	Lenovo		1.91376E+11	80X50002US		671.99	USD
howardcomputer_2273	cluster_22258	6	HP EliteBook 745 G5	HP		1.92546E+11	4JC02UTABA		1341.99	USD
howardcomputer_2277	cluster_22538	9	HP 250 G6	HP		1.90782E+11	1NW55UTABA		522.99	USD
howardcomputer_2287	cluster_22289	6	Acer Aspire 3 A315-51-57Z4	Acer		1.91115E+11	NXGNPAA022		484.99	USD
howardcomputer_2301	cluster_22034	6	Dell Latitude 5491	Dell		8.84116E+11	4D7J7		1746.99	USD
howardcomputer_2319	cluster_22536	9	HP EliteBook 840 G4	HP		1.90781E+11	1GE45UTABA		1923.99	USD
howardcomputer_251	cluster_22220	6	HP ProBook 640 G2	HP		8.89895E+11	V1P72UTABA		904.99	USD
howardcomputer_29	cluster_22603	14	Lenovo ThinkPad T480 20L5	Lenovo		1.9233E+11	20L5000UUS		1491.99	USD
howardcomputer_449	cluster_22568	10	HP ProBook 650 G2	HP		8.89895E+11	V1P79UTABA		1137.99	USD
howardcomputer_627	cluster_22371	7	HP EliteBook 840 G4	HP		1.90781E+11	1GE43UTABA		1692.99	USD
howardcomputer_669	cluster_22287	6	MSI GS63VR Stealth Pro-674	MSI		8.24142E+11	GS63VR674		1473.99	USD
howardcomputer_695	cluster_22359	10	HP EliteBook 830 G5	HP		1.92545E+11	3RB98UTABA		1537.99	USD
howardcomputer_697	cluster_22297	6	Lenovo ThinkPad T580 20L9	Lenovo		1.92159E+11	20L9001FUS		1544.99	USD
howardcomputer_737	cluster_22517	11	Lenovo ThinkPad E580 20KS	Lenovo		1.92158E+11	20KS003LUS		888.99	USD
howardcomputer_739	cluster_22139	6	HP EliteBook 1040 G4	HP		1.92018E+11	2UL93UTABA		1493.99	USD
howardcomputer_777	cluster_22516	8	HP EliteBook 850 G5	HP		1.92545E+11	3RS14UTABA		1397.99	USD
howardcomputer_787	cluster_22468	13	HP ProBook 650 G4	HP		1.92545E+11	3YE31UTABA		895.99	USD
howardcomputer_821	cluster_22559	14	Lenovo ThinkPad E580 20KS	Lenovo		1.92158E+11	20KS003QUS		807.99	USD
howardcomputer_829	cluster_22511	9	HP ProBook 650 G4	HP		1.92545E+11	3YG31UTABA		1233.99	USD
howardcomputer_883	cluster_22266	6	Dell Latitude 7490	Dell		8.84116E+11	W2W1D		1346.99	USD
howardcomputer_887	cluster_22523	11	OMEN X by HP 17-ap020nr	HP		1.92018E+11	2LV60UAABA		2399.99	USD
howardcomputer_89	cluster_22443	9	Dell Latitude 5590	Dell		8.84116E+11	K7G13		1407.99	USD
howardcomputer_961	cluster_22192	6	MSI GT83 Titan SLI-014	MSI		8.24142E+11	GT83014		5361.99	USD
kaizyr_1	cluster_22325	7	10.1in Quad Core 4GB 64GB	Asus	"Tranformer Book.Touch Screen Gray. 10.1in IPS WXGA (1280x800), glossy, Intel Quad-Core Atom Z8350 1.44 GHz (Turbo up to 1.92 GHz), 4GB DDR3 (On Board), 64GB EMMC, No Optical Drive, Windows 10 (64bit), 1YR International/30-Day Zero Bright Dot/1-way FREE shipping/24-7 tech support"	8.8935E+11		DCT101HAC4GRCA	397.43	CAD
kaizyr_104	cluster_22333	7	EB1040G4 i7-7500U 14 8GB-256 PC U.S. - English localization	HP	"HP EB1040G4 i7-7500U 14 8GB/256 PC Intel i7-7500U, 14.0 FHD AG LED UWVA, UMA, Webcam, 8GB DDR4, 256GB SSD, AC+BT, 6C Batt, W10 Pro64, 1yr Wrty+3yrTrvPu+Ret U.S. - English localization"	1.92018E+11		DC2UL94UTCA	1733.55	CAD
kaizyr_110	cluster_22560	9	EB745G5 R7-2700U 14 8GB-256 PC U.S. - English localization	HP	"HP EB745G5 R7-2700U 14 8GB/256 PC AMD R7-2700U, 14.0 FHD AG LED UWVA, UMA, Webcam, 8GB DDR4, 256GB SSD, AC+BT, 3C Batt, FPR, W10 Pro64, 3yr Wrty+3yrNBDOnsite U.S. - English localization"	1.92546E+11		DC4JB90UTCA	1539.8	CAD
kaizyr_111	cluster_22541	9	EB745G5 R7-2700U 14 8GB-256 PC U.S. - English localization	HP	"HP EB745G5 R7-2700U 14 8GB/256 PC AMD R7-2700U, 14.0 FHD AG LED UWVA, UMA, Webcam, 8GB DDR4, 256GB SSD, AC+BT, 3C Batt, FPR, W10 Pro64, 3yr Wrty+3yrNBDOnsite U.S. - English localization"	1.92546E+11		DC4JB95UTCA	1404.78	CAD
kaizyr_119	cluster_22586	10	EB840G5 i5-8250U 14 8GB-256 PC	HP	"HP EB840G5 i5-8250U 14 8GB/256 PC Intel i5-8250U, 14.0 FHD AG LED UWVA, UMA, 8GB DDR4, 256GB SSD, AC+BT, 3C Batt, FPR, W10 Pro64, 3yr Wrty+ U.S. - English localization"	1.92545E+11		DC3RF07UTCA	1575.59	CAD
kaizyr_216	cluster_22537	9	ZBook 15 G4 i7-7700HQ 15.6 8GB	HP	"HP PROMO 15 G4 i7-7700HQ 15.6 8GB/256 PC Core i7-7700HQ, 15.6 FHD AG UWVA, DSC, 8GB DDR4 RAM, 256GB SSD, BT, 4C Battery, FPR, Win 10 PRO 64, 3yr Warranty U.S. - English localization"	1.90782E+11		DC1MP26UTCA	2456.04	CAD
kaizyr_25	cluster_22221	6	15.6in i7 7700HQ 16GB 1TB	Asus	"ROG Metallic Black; No Touch Screen; 15.6in FHD (1920*1080), matte; Intel Core i7-7700HQ 2.8GHz (Turbo up to 3.8GHz); Mobile Intel HM175 Express Chipsets; 16GB DDR4; 2x Socket (one slot installed w&amp;#047; 16GB, one slot open); NVIDIA GTX1050 4GB GDDR5; 1TB (7200 RPM) + 256GB SSD ; No Optical Drive; Windows 10 (64bit); 802.11AC; HD Web Camera; Bluetooth 4.1; RGB (4-Zone) Keyboard; 64WHrs, 4S1P, 4-cell Li-ion; 1YR International*/1YR ADP with 1-way free shipping/30-Day Zero Bright Dot/2-way FREE shipping for standard warranty repair/24-7 tech support;; 1x Headphone-out &amp;amp; Audio-in Combo Jack; 1x RJ45 LAN Jack for LAN insert; 1x HDMI; 1x mini Display Port; 1x USB3.1-Type C(Gen1); 1x USB 2.0; 3x USB 3.0"	8.8935E+11		DCGL503VDDB74CA	1728.42	CAD
kaizyr_26	cluster_22469	8	15.6in NanoEdge FHD (1920x1080)	Asus	"Gold Metal 15.6in NanoEdge FHD (1920x1080), matte, WV, Intel Core i7-8550U 1.8GHz (Turbo up to 4GHz)"	8.8935E+11		DCS510UADS71CA	970.17	CAD
kaizyr_46	cluster_22468	13	650G4 i5 7200U 15 4GB500 PC US	HP	"HP PB650G4 i5-7200U 15 4GB/500 PC Intel i5-7200U, 15.6 HD AG LED SVA, UMA, Webcam, 4GB DDR4, 500GB HDD, DVD+/-RW, AC+BT, 3C Batt, FPR, W10 Pro64, 1yr Wrty+ U.S. - English localization."	1.92545E+11		DC3YE31UTCA	979	CAD
kaizyr_66	cluster_22536	9	840 G4 i77500U 14 16GB512  US	HP	"HP PROMO 840 G4 i7-7500U 14 16GB/512 PC Core i7-7500U, 14.0 QHD AG LED UWVA, UMA, 16GB DDR4 RAM, 512GB TURBO DRIVE, BT, 3C Battery, FPR, Win 10 PRO 64, 3yr Warranty U.S. - English localization"	1.90781E+11		DC1GE45UTCA	1838.66	CAD
kaizyr_71	cluster_22298	7	850 G4 i57300U 15.6 8GB 256  US	HP	"HP PROMO 850 G4 i5-7300U 15.6 8GB/256 PC Core i5-7300U, 15.6 FHD AG LED SVA, UMA, 8GB DDR4 RAM, 256GB SSD, BT, 3C Battery, FPR, Win 10 PRO 64, 3yr Warranty U.S. - English localization"	1.90781E+11		DC1BS49UTCA	1450.88	CAD
macmall_100	cluster_22192	6	MSI GT83 TITAN-014 - Intel Core i7-8850H (2.6 - 4.3GHz) 32GB (16G*2) DDR4 2666MHz Super RAID 4 512GB SSD (NVMe) [256GB *2]+1TB (SATA) 7200rpm BD Burner (9.5mm) LAN WLAN BT 5 Dual GeForce® GTX1080 [SLI] 16G GDDR5X (8GB each) 18.4in Full HD (GT83014)	MSI	"Intel Core i7-8850H (2.6 - 4.3GHz), 32GB (16G*2) DDR4 2666MHz, Super RAID 4 512GB SSD (NVMe) [256GB *2]+1TB (SATA) 7200rpm, BD Burner (9.5mm), LAN, WLAN, BT 5, Dual GeForce® GTX1080 [SLI] 16G GDDR5X (8GB each), 18.4in Full HD, Windows 10"	8.24142E+11	GT83014		4909.99	USD
macmall_106	cluster_22541	9	HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM 256GB SSD 14in LED FHD UWVA AMD Radeon Vega Graphics 10/100/1000 Intel 8265 AC 2x2 WiFi + Bluetooth 4.2 720p HD IR Webcam 3-Cell 50 Wh Li-Ion Polymer (4JB95UTABA)	HP	"AMD Ryzen 7 2700U Quad-Core 2.2GHz, 8GB DDR4 SDRAM, 256GB PCIe NVMe Value SSD, 14in LED FHD UWVA, AMD Radeon Vega Graphics, 10/100/1000, Intel 8265 AC 2x2 WiFi + Bluetooth 4.2, 720p HD IR Webcam, 3-Cell 50 Wh Li-Ion Polymer, Microsoft Windows 10 Pro 64-bit"	1.92546E+11	4JB95UTABA		1433.99	USD
macmall_107	cluster_22560	9	HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM 256GB SSD 14in FHD UWVA AMD Radeon Vega Graphics 10/100/1000 Intel 8265 AC 2x2 WiFi + Bluetooth 4.2 720p HD IR Webcam 3-Cell 50 Wh Li-Ion Polymer (4JB90UTABA)	HP	"AMD Ryzen 7 2700U Quad-Core 2.2GHz, 8GB DDR4 SDRAM, 256GB PCIe NVMe Value SSD, 14in FHD UWVA, AMD Radeon Vega Graphics, 10/100/1000, Intel 8265 AC 2x2 WiFi + Bluetooth 4.2, 720p HD IR Webcam, 3-Cell 50 Wh Li-Ion Polymer, Microsoft Windows 10 Pro 64-bit"	1.92546E+11	4JB90UTABA		1249.99	USD
macmall_108	cluster_22520	18	Lenovo ThinkPad E480 20KN 7th Gen Intel Core i3-7020U Dual-Core 2.30GHz Notebook PC - 4GB RAM 500GB HDD 14in HD (1366x768) TN Display Intel HD Graphics 620 802.11ac Wi-Fi Bluetooth 4.1 Windows 10 Pro 64-bit - Black (20KN008GUS)	Lenovo	"7th Gen Intel Core i3-7020U Dual-Core 2.30GHz, 4GB DDR4 RAM, 500GB HDD, 14in HD (1366x768) TN Display, Integrated Intel HD Graphics 620, 802.11ac Wi-Fi, Bluetooth 4.1, MicroSD Media Card Reader, USB Type-A, USB Type-C, HDMI, Windows 10 Pro 64-bit"	1.92651E+11	20KN008GUS		599.99	USD
macmall_120	cluster_22174	6	HP Inc. ZBook 15 G5 8th Gen Intel Core i7-8750H 6-Core 2.20GHz Notebook PC - 16GB RAM 512GB PCIe NVMe SSD 15.6in FHD (1920x1080) eDP LED-backlit Touchscreen Display Intel UHD Graphics 630 GbE WiFi Bluetooth Webcam Windows 10 Pro 64 - Smart Buy (4RB08UTABA)	HP	"8th Gen Intel Core i7-8750H 6-Core 2.20GHz, 16GB DDR4-2666 SDRAM, 512GB PCIe NVMe SSD, 15.6in FHD (1920x1080) eDP LED-backlit Touchscreen Display, Intel UHD Graphics 630, Intel I219-LM GbE, 802.11ac, Bluetooth, 720p HD Webcam w/IR, Windows 10 Pro 64"	1.92546E+11	4RB08UTABA		2129.99	USD
macmall_133	cluster_22596	11	HP Inc. Smart Buy ZBook 15 G3 Intel Core i7-6700HQ Quad-Core 2.60GHz Mobile Workstation - 8GB RAM 1TB HDD 15.6in LED FHD Gigabit Ethernet 802.11ac Bluetooth Webcam TPM + Fingerprint Reader 9-cell 90 Wh Li-Ion Polymer (V2W06UTABA)	HP	"Intel Core i7-6700HQ Quad-Core 2.60GHz, 8GB DDR4 2133MHz,1TB 5400rpm SATA, 15.6in LED FHD, NVIDIA Quadro M1000M, Webcam, Gigabit NIC, 802.11ac, Bluetooth, Microsoft Windows 7 Pro 64-bit (available through downgrade rights from Windows 10 Pro 64)"	8.89899E+11	V2W06UTABA		1559.99	USD
macmall_207	cluster_22152	6	HP Inc. ZBook 14u G5 8th Gen Intel Core i5-8350U Quad-Core 1.7GHz Mobile Workstation - 8GB RAM 256GB SSD  Z Turbo Drive NVMe 14in IPS Touchscreen 1920 x 1080 (Full HD) Radeon Pro WX 3100 / HD Graphics 620 Wi-Fi Bluetooth - turbo silver - kbd: US (3YE06UTABA)	HP	"8th Gen Intel Core i5-8350U Quad-Core 1.7GHz, 8GB RAM, 256GB SSD Z Turbo Drive NVMe, 14in IPS Touchscreen 1920 x 1080 (Full HD), Radeon Pro WX 3100 / HD Graphics 620, Wi-Fi, Bluetooth, Microsoft Windows 10 Pro 64-bit"	1.92545E+11	3YE06UTABA		1609.99	USD
macmall_216	cluster_22258	6	HP Inc. Smart Buy EliteBook 745 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 16GB RAM 512GB SSD 14in Touchscreen LED FHD UWVA 10/100/1000 Intel 8265 AC 2x2 WiFi + Bluetooth 4.2 720p HD IR Webcam 3-Cell 50 Wh Li-Ion Polymer (4JC02UTABA)	HP	"AMD Ryzen 7 2700U Quad-Core 2.2GHz, 16GB DDR4 SDRAM, 512GB PCIe NVMe TLC SSD, 14in Touchscreen LED FHD UWVA, AMD Radeon Vega Graphics, 10/100/1000, Intel 8265 AC 2x2 WiFi + Bluetooth 4.2, 720p HD IR Webcam, Microsoft Windows 10 Pro 64-bit"	1.92546E+11	4JC02UTABA		1659.99	USD
macmall_220	cluster_22268	6	HP Inc. Smart Buy ProBook 645 G4 AMD Ryzen 5 2500U Quad-Core 2GHz Notebook PC - 8GB DDR4 SDRAM 256GB SSD 14in LED HD SVA AMD Radeon Vega Graphics 10/100/1000 Intel 8265 AC 2x2 WiFi + Blutooth 4.2 720p HD Webcam Microsoft Windows 10 Pro 64-bit (4LB46UTABA)	HP	"AMD Ryzen 5 2500U Quad-Core 2GHz, 8GB DDR4 SDRAM, 256GB SSD, 14in LED HD SVA, AMD Radeon Vega Graphics, 10/100/1000, Intel 8265 AC 2x2 WiFi + Blutooth 4.2, 720p HD Webcam, Microsoft Windows 10 Pro 64-bit"	1.92546E+11	4LB46UTABA		876.99	USD
macmall_227	cluster_22304	7	HP Inc. Smart Buy EliteBook 755 G5 AMD Ryzen 7 2700U Quad-Core 2.2GHz UltraThin Notebook PC - 8GB RAM 256GB SSD 15.6in FHD UWA 400 nit 10/100/1000 Intel 8265 AC 2x2 WiFi + Bluetooth 4.2 720p HD IR Webcam 3-cell 56 WHr Li-ion (4HZ54UTABA)	HP	"AMD Ryzen 7 2700U Quad-Core 2.2GHz, 8GB DDR4 SDRAM, 256GB PCIe NVMe Value SSD, 15.6in FHD UWA 400 nit, AMD Radeon Vega Graphics, 10/100/1000, Intel 8265 AC 2x2 WiFi + Bluetooth 4.2, 720p HD IR Webcam, 3-cell, 56 WHr Li-ion, Microsoft Windows 10 Pro 64-bit"	1.92546E+11	4HZ54UTABA		1219.99	USD
macmall_262	cluster_22257	6	Lenovo ThinkPad E480 20KN - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - black (20KN003XUS)	Lenovo	"Lenovo ThinkPad E480 20KN - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2, NVMe - 14in IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi, Bluetooth - black"	1.92159E+11	20KN003XUS		840.94	USD
macmall_263	cluster_22605	20	Lenovo ThinkPad E580 20KS 8th Gen Intel Core i5-8250U Quad-Core 1.60GHz Notebook PC - 8GB RAM 256GB SSD M.2 PCIe NVMe Opal2 15.6in FHD (1920x1080) IPS Display Intel UHD Graphics 620 802.11ac 2x2 +BT4.1 720p Camera Windows 10 Pro 64 - TopSeller (20KS003SUS)	Lenovo	"8th Gen Intel Core i5-8250U Quad-Core 1.60GHz, 8GB RAM, 256GB SSD M.2 PCIe NVMe Opal2, 15.6in FHD (1920x1080) IPS Display, Integrated Intel UHD Graphics 620, 802.11ac 2x2, Bluetooth 4.1, 720p Camera, Windows 10 Pro 64, Black, 1-Year Depot Warranty"	1.92158E+11	20KS003SUS		830.99	USD
macmall_268	cluster_22603	14	Lenovo ThinkPad T480 20L5 8th Gen Intel Core i7-8550U Quad-Core 1.80GHz Notebook PC - 8GB RAM 256GB SSD M.2 PCIe NVMe Opal2 14in FHD (1920x1080) IPS Display Intel UHD Graphics 620 Intel 8265ac 2x2 + BT4.1 720p Camera Windows 10 Pro 64 - TopSeller (20L5000UUS)	Lenovo	"8th Gen Intel Core i7-8550U Quad-Core 1.80GHz, 8GB RAM, 256GB SSD M.2 PCIe NVMe Opal2, 14in FHD (1920x1080) IPS Display, Integrated Intel UHD Graphics 620, Intel 8265ac, 2x2 + BT4.1, 720p Camera, Backlit Keyboard, Windows 10 Pro 64, 3-Year Depot Warranty"	1.9233E+11	20L5000UUS		1414.16	USD
macmall_271	cluster_22523	11	Lenovo ThinkPad P52s 20LB 8th Gen Intel Core i7 8650U / 1.9 GHz - Win 10 Pro 64-bit - 16 GB RAM - 1 TB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - Quadro P500 / UHD Graphics 620 - Wi-Fi Bluetooth - WWAN upgradable - Black (20LB0019US)	Lenovo	"Harness quad-core performance on the go with the ThinkPad P52s mobile workstation. This powerhouse Ultrabook boasts cutting-edge processors and graphics, business-class security, and expansive connectivity."	1.9233E+11	20LB0019US		1936.02	USD
macmall_275	cluster_22247	6	Lenovo ThinkPad E480 20KN - Core i5 7200U / 2.5 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 14in TN 1366 x 768 (HD) - HD Graphics 620 - Wi-Fi Bluetooth - black (20KN003TUS)	Lenovo	"Lenovo ThinkPad E480 20KN - Core i5 7200U / 2.5 GHz - Win 10 Pro 64-bit - 4 GB RAM - 500 GB HDD - 14in TN 1366 x 768 (HD) - HD Graphics 620 - Wi-Fi, Bluetooth - black"	1.92159E+11	20KN003TUS		652.99	USD
macmall_278	cluster_22289	6	Acer Aspire 3 A315-51-57Z4 Intel Core i5-7200U Dual-core 2.5GHz Notebook Computer - 6GB RAM 1TB HDD 15.6in Full HD (1920 x 1080) ComfyView Gigabit Ethernet 802.11ac wireless LAN Webcam 2-Cell 4810mAh Li-ion - Obsidian Black (NX.GNPAA.022)	Acer	"Intel Core i5-7200U Dual-core 2.5GHz, 6GB DDR4 SDRAM, 1TB 5400RPM Serial ATA, 15.6in Full HD (1920 x 1080) ComfyView, Intel HD Graphics 620, Gigabit Ethernet, 802.11ac wireless LAN, Webcam, Microsoft Windows 10 Home 64-bit"	1.91115E+11	NXGNPAA022		494.99	USD
macmall_292	cluster_22138	6	HP Inc. Smart Buy ZBook 15 G3 Intel Core i7-6700HQ Quad-Core 2.60GHz Mobile Workstation - 16GB RAM 512GB SSD 15.6in LED FHD Gigabit Ethernet 802.11ac Bluetooth Webcam TPM + Fingerprint Reader 9-cell 90 Wh Li-Ion Polymer (V2W10UTABA)	HP	"Intel Core i7-6700HQ Quad-Core 2.60GHz, 16GB DDR4 2133MHz, 512GB Z Turbo Drive G2, 15.6in LED FHD, NVIDIA Quadro M1000M, Webcam, Gigabit NIC, 802.11ac, Bluetooth, Microsoft Windows 7 Pro 64-bit (available through downgrade rights from Windows 10 Pro 64)"	8.89899E+11	V2W10UTABA		2079.99	USD
macmall_293	cluster_22519	10	HP Inc. Pavilion 15-cs0079nr 8th Gen Intel Quad-Core i5-8250U 1.6GHz Notebook PC - 8GB DDR4 RAM 1TB HDD DVDRW 15.6in FHD 1920x1080 Touchscreen UHD Graphics 620 Gigabit Ethernet WiFi Bluetooth Microsoft Windows 10 Home Edition (3VN32UAABA)	HP	"8th Gen Intel Quad-Core i5-8250U 1.6GHz, 8GB DDR4 RAM, 1TB HDD, DVDRW, 15.6in FHD 1920x1080 Touchscreen, UHD Graphics 620, Gigabit Ethernet, WiFi, Bluetooth, Windows 10 Home Edition, Sand Blast Matte Finish in Ceramic White with Pale Gold Keyboard Deck"	1.92545E+11	3VN32UAABA		654.99	USD
macmall_295	cluster_21494	10	Lenovo ThinkPad E580 20KS 7th Gen Intel Core i3-7020U Dual-Core 2.30GHz Notebook PC - 4GB RAM 500GB HDD 15.6in HD (1366x768) Display Intel HD Graphics 620 Wi-Fi Bluetooth Windows 10 Pro 64-bit - Black (20KS008JUS)	Lenovo	"7th Gen Intel Core i3-7020U Dual-Core 2.30GHz, 4GB RAM, 500GB HDD, 15.6in HD (1366x768) Display, Intel HD Graphics 620, Wi-Fi, Bluetooth, Windows 10 Pro 64-bit"	1.92651E+11	20KS008JUS		579.99	USD
macmall_306	cluster_22518	8	Lenovo ThinkPad P51 20HH 7th Gen Intel Core i7-7820HQ Quad-Core 2.90GHz Mobile Workstation - 8GB RAM 256GB SSD M.2 PCIe NVMe Opal2 15.6in FHD (1920x1080) IPS Display NVIDIA Quadro M1200 4GB WiFi BT4.1 WWAN Upgradable Windows 10 Pro 64 (20HH000GUS)	Lenovo	"7th Gen Intel Core i7-7820HQ Quad-Core 2.90GHz, 8GB RAM, 256GB SSD M.2 PCIe NVMe Opal2, 15.6in FHD (1920x1080) IPS Display, NVIDIA Quadro M1200 4GB, Intel 8265ac, 2x2 + BT4.1, WWAN Upgradable, 720p Camera, Windows 10 Pro 64"	1.91376E+11	20HH000GUS		1468.12	USD
macmall_308	cluster_22508	8	Lenovo ThinkPad P71 Intel Core i7-7700HQ Quad-Core 2.80GHz Notebook PC - 8GB RAM 500GB HDD 17.3in FHD IPS LCD Gigabit Ethernet 802.11ac Bluetooth 4.1 Fingerprint Reader - Black (20HK0013US)	Lenovo	"Intel Core i7-7700HQ Quad-Core 2.80GHz, 8GB DDR4 SDRAM, 500GB SATA HDD, 17.3in FHD IPS LCD, NVIDIA Quadro M620, Gigabit Ethernet, 802.11ac, Bluetooth 4.1, Fingerprint Reader, Microsoft Windows 10 Pro 64-bit - Black"	1.91377E+11	20HK0013US		1435.88	USD
macmall_309	cluster_22208	6	HP Inc. ZBook 17 G4 Mobile Workstation - Intel Core i7-7820HQ 3.9GHz - 16GB DDR4 - 1TB HDD - 17.3in FHD Display 1920x1080 - 6GB NVIDIA Quadro P3000 - 4x USB 3.0 - Bluetooth 4.2 - Win 10 Pro 64-bit (1NL41UTABA)	HP	"We built desktop workstation power, performance and expandability into a device designed for the road. Made for mobile creative and design professionals with the most demanding projects, where compromise is simply not an option."	1.90782E+11	1NL41UTABA		2241.99	USD
macmall_314	cluster_22537	9	HP Inc. ZBook Studio G4 Intel Core i7-7700HQ Quad-Core 2.80GHz Notebook PC - 8GB RAM 256GB HP Z Turbo Drive PCIe SSD 15.6in FHD UWVA anti-glare LED-backlit Intel I219-LM Gigabit Windows 10 Pro 64 (1MP26UTABA)	HP	"Intel Core i7-7700HQ Quad-Core 2.80GHz, 8GB DDR4-2400 SDRAM, 256GB HP Z Turbo Drive PCIe SSD, 15.6in diagonal FHD UWVA anti-glare LED-backlit (1920x1080), Intel HD graphics 630, NVIDIA Quadro M1200 4GB GDDR5, Intel I219-LM Gigabit, Windows 10 Pro 64"	1.90782E+11	1MP26UTABA		1649.99	USD
macmall_32	cluster_22469	8	ASUS VivoBook S15 S510UA DS71 8th Gen Intel Core i7-8550U 1.8GHz Ultra Thin Notebook PC - 8GB RAM 128GB SSD + 1TB HDD 15.6in 1920 x 1080 (Full HD) UHD Graphics 620 802.11ac Bluetooth Microsoft Windows 10 Home 64-bit - Metal Gold (S510UA-DS71)	ASUS	"8th Gen Intel Core i7-8550U 1.8GHz, 8GB RAM, 128GB SSD + 1TB HDD, 15.6in 1920 x 1080 (Full HD), UHD Graphics 620, 802.11ac, Bluetooth, Microsoft Windows 10 Home 64-bit, Metal Gold"	8.8935E+11	S510UADS71		796.99	USD
macmall_325	cluster_22559	14	Lenovo ThinkPad T480 20L5 8th Gen Intel Core i5-8250U Quad-Core 1.60GHz Notebook PC - 8GB RAM 500GB HDD 14in HD (1366x768) Display Intel UHD Graphics 620 Intel 8265ac 2x2 + BT4.1 720p Camera Windows 10 Pro 64 - TopSeller (20L5004HUS)	Lenovo	"8th Gen Intel Core i5-8250U Quad-Core 1.60GHz, 8GB RAM, 500GB 7200rpm HDD, 14in HD (1366x768) Display, Integrated Intel UHD Graphics 620, Intel 8265ac, 2x2 + Bluetooth 4.1, 720p Camera, Non-backlit Keyboard, Windows 10 Pro 64, 1-Year Depot Warranty"	1.92331E+11	20L5004HUS		938.05	USD
